LENGTH,TIME-TAKEN
0,0.1435990333557129,
5000,32.34916603565216,
10000,113.65606999397278,
15000,251.54037201404572,
20000,444.98109698295593,
25000,693.9265010356903,
30000,1000.7809669971466,
35000,1350.108433008194,
40000,1758.160660982132,
45000,2223.634827017784,
50000,2731.3789570331573,
55000,3308.6217609643936,
60000,3922.854330062866,
65000,4592.311010956764,
70000,5321.531455993652,
75000,6137.458130955696,
80000,6956.443815946579,
85000,7823.52092897892,
90000,8775.017724990845,
95000,9841.084113001823,
